2026/04/08 13:08:07 [LLM] Loaded 9 config(s) from .env file
2026/04/08 13:08:07 [Agent] Hardware Agent started on :9100
2026/04/08 13:08:07 listening on :8080
2026/04/08 13:08:11 [Agent] WARNING: All Windows temperature methods failed.
2026/04/08 13:08:22 [2026-04-08 13:08:22] 200 |            0s |       127.0.0.1 | GET     /api/healthz
2026/04/08 13:12:34 [2026-04-08 13:12:34] 200 |            0s |       127.0.0.1 | GET     /api/healthz
2026/04/08 13:12:50 [2026-04-08 13:12:50] 302 |       510.6µs |       127.0.0.1 | GET     /
2026/04/08 13:12:50 [2026-04-08 13:12:50] 200 |    148.8904ms |       127.0.0.1 | GET     /app/login.html
2026/04/08 13:12:51 [2026-04-08 13:12:51] 200 |            0s |       127.0.0.1 | GET     /app/dashboard.html
2026/04/08 13:12:51 [2026-04-08 13:12:51] 200 |            0s |       127.0.0.1 | GET     /app/modules/drones.html
2026/04/08 13:12:51 [2026-04-08 13:12:51] 200 |       514.9µs |       127.0.0.1 | GET     /app/modules/common.css
2026/04/08 13:12:51 [2026-04-08 13:12:51] 200 |            0s |       127.0.0.1 | GET     /app/modules/common.js
2026/04/08 13:12:52 [2026-04-08 13:12:52] 200 |       2.779ms |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:12:52 [2026-04-08 13:12:52] 200 |       4.134ms |       127.0.0.1 | GET     /api/drones
2026/04/08 13:12:52 [2026-04-08 13:12:52] 404 |            0s |       127.0.0.1 | GET     /favicon.ico
2026/04/08 13:13:00 [2026-04-08 13:13:00] 200 |      4.6362ms |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:13:00 [2026-04-08 13:13:00] 200 |      5.2921ms |       127.0.0.1 | GET     /api/drones
2026/04/08 13:13:00 [2026-04-08 13:13:00] 200 |       11.33ms |       127.0.0.1 | GET     /api/drones?name=wangyugui123456
2026/04/08 13:13:00 [2026-04-08 13:13:00] 200 |      11.941ms |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:13:05 [2026-04-08 13:13:05] 200 |            0s |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:13:05 [2026-04-08 13:13:05] 200 |       649.4µs |       127.0.0.1 | GET     /api/drones
2026/04/08 13:13:05 [2026-04-08 13:13:05] 200 |       506.6µs |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:13:05 [2026-04-08 13:13:05] 200 |         892µs |       127.0.0.1 | GET     /api/drones
2026/04/08 13:13:08 [2026-04-08 13:13:08] 200 |       588.5µs |       127.0.0.1 | GET     /api/drones/stats
2026/04/08 13:13:08 [2026-04-08 13:13:08] 200 |      1.8618ms |       127.0.0.1 | GET     /api/drones
2026/04/08 13:13:09 [2026-04-08 13:13:09] 200 |            0s |       127.0.0.1 | GET     /app/modules/noflyzone.html
2026/04/08 13:13:09 [2026-04-08 13:13:09] 200 |            0s |       127.0.0.1 | GET     /app/modules/common.css
2026/04/08 13:13:09 [2026-04-08 13:13:09] 200 |            0s |       127.0.0.1 | GET     /app/modules/common.js
2026/04/08 13:13:10 [2026-04-08 13:13:10] 200 |            0s |       127.0.0.1 | GET     /api/config
2026/04/08 13:13:10 [2026-04-08 13:13:10] 200 |       505.9µs |       127.0.0.1 | GET     /api/noflyzone
2026/04/08 13:13:11 [2026-04-08 13:13:11] 200 |            0s |       127.0.0.1 | GET     /api/healthz
2026/04/08 13:19:01 shutting down...
